Poll ID,Plantilla,Flujo,Canal,Paso Origen,Nodo Origen,Nodo Destino,Es Fuga,Origen ID,Destino ID,N Clientes,Pct Del Nodo,Nodo Origen Key,Nodo Destino Key
1129670,problemas_tecnicos_dic_2025,problemas_tecnicos_dic_2025 #1129670,atc,1,"¡Excelente decisión, {{hubspot_firstname}}! 💚 Aquí puedes agendar una breve prueba técnica (10 min) para asegurarte de que todo funcione bien antes de tu próxima sesión: 👉https://opcionyo.com/especialista-agendar/841/soporte-tecnico Revisaremos audio, video y acceso a la plataforma.",✖ No avanzó (abandonó),true,9216012,__FIN__,7,100.0,"P1 · ¡Excelente decisión, {{hubspot_firstname}}! 💚 Aq…",✖ No avanzó (P1)
1129686,hsm_problemas_tecnicos,hsm_problemas_tecnicos #1129686,atc,1,"¡Excelente decisión, {{hubspot_firstname}}! 💚 Aquí puedes agendar una breve prueba técnica (10 min) para asegurarte de que todo funcione bien antes de tu próxima sesión: 👉https://opcionyo.com/especialista-agendar/841/soporte-tecnico Revisaremos audio, video y acceso a la plataforma.","¡Excelente decisión, {{hubspot_firstname}}! 💚 Aquí puedes agendar una breve prueba técnica (10 min) para asegurarte de que todo funcione bien antes de tu próxima sesión: 👉https://opcionyo.com/especialista-agendar/841/soporte-tecnico Revisaremos audio, video y acceso a la plataforma.",false,9216149,9216149,3,15.0,"P1 · ¡Excelente decisión, {{hubspot_firstname}}! 💚 Aq…","P2 · ¡Excelente decisión, {{hubspot_firstname}}! 💚 Aq…"
1129686,hsm_problemas_tecnicos,hsm_problemas_tecnicos #1129686,atc,1,"¡Excelente decisión, {{hubspot_firstname}}! 💚 Aquí puedes agendar una breve prueba técnica (10 min) para asegurarte de que todo funcione bien antes de tu próxima sesión: 👉https://opcionyo.com/especialista-agendar/841/soporte-tecnico Revisaremos audio, video y acceso a la plataforma.",✖ No avanzó (abandonó),true,9216149,__FIN__,17,85.0,"P1 · ¡Excelente decisión, {{hubspot_firstname}}! 💚 Aq…",✖ No avanzó (P1)
1129686,hsm_problemas_tecnicos,hsm_problemas_tecnicos #1129686,atc,2,"¡Excelente decisión, {{hubspot_firstname}}! 💚 Aquí puedes agendar una breve prueba técnica (10 min) para asegurarte de que todo funcione bien antes de tu próxima sesión: 👉https://opcionyo.com/especialista-agendar/841/soporte-tecnico Revisaremos audio, video y acceso a la plataforma.",✖ No avanzó (abandonó),true,9216149,__FIN__,3,100.0,"P2 · ¡Excelente decisión, {{hubspot_firstname}}! 💚 Aq…",✖ No avanzó (P2)
1216650,prueba_mensaje_28hs_antes,prueba_mensaje_28hs_antes #1216650,atc,1,"Hola {{hubspot_firstname}}, Tu sesión es mañana a las {{hubspot_sesion_en_28hs}}, Como no hemos recibido cambios, tu sesión sigue confirmada. Si no podrás asistir, puedes reagendarla dentro de las próximas 2h. Las sesiones no canceladas con 24h de anticipación se consideran tomadas. Gracias por tu compromiso ✨",✖ No avanzó (abandonó),true,10814406,__FIN__,4085,100.0,"P1 · Hola {{hubspot_firstname}}, Tu sesión es mañana …",✖ No avanzó (P1)
1216650,prueba_mensaje_28hs_antes,prueba_mensaje_28hs_antes #1216650,atc,1,"Hola {{hubspot_firstname}}, Tu sesión es mañana a las {{hubspot_sesion_en_28hs}}, Como no hemos recibido cambios, tu sesión sigue confirmada. Si no podrás asistir, puedes reagendarla dentro de las próximas 2h. Las sesiones no canceladas con 24h de anticipación se consideran tomadas. Gracias por tu compromiso ✨",✖ No avanzó (abandonó),true,11166159,__FIN__,3824,100.0,"P1 · Hola {{hubspot_firstname}}, Tu sesión es mañana …",✖ No avanzó (P1)
1271361,(sin nombre),(sin nombre) #1271361,atc,1,¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀️ Te puedo ayudar con información sobre tus sesiones y mucho más. *Elige una de estas alternativas* para conectarte con el área correspondiente:,"⚙️ Si estás experimentando problemas técnicos, no te preocupes, estamos para ayudarte. ¿Puedes contarme más del problema por favor? En breve te respondemos.",false,9873212,9873215,49,6.7,P1 · ¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀…,"P2 · ⚙️ Si estás experimentando problemas técnicos, n…"
1271361,(sin nombre),(sin nombre) #1271361,atc,1,¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀️ Te puedo ayudar con información sobre tus sesiones y mucho más. *Elige una de estas alternativas* para conectarte con el área correspondiente:,"En este momento, no estamos disponibles para asistencia directa, pero no te preocupes. Hemos recopilado las soluciones a los problemas técnicos más comunes para ti. 🛠️✨ Ingresa al siguiente enlace: https://40159402.hs-sites.com/es/soporte-tecnico/soluci%C3%B3n-de-problemas",false,9873212,9873220,1,0.1,P1 · ¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀…,"P2 · En este momento, no estamos disponibles para asi…"
1271361,(sin nombre),(sin nombre) #1271361,atc,1,¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀️ Te puedo ayudar con información sobre tus sesiones y mucho más. *Elige una de estas alternativas* para conectarte con el área correspondiente:,🏃‍♀️ Evita demoras ingresando a este link donde podrás realizar el cambio en menos de 1 minuto. https://opcionyo.com/atc/mas-sesiones,false,9873212,9873222,3,0.4,P1 · ¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀…,P2 · 🏃‍♀️ Evita demoras ingresando a este link donde …
1271361,(sin nombre),(sin nombre) #1271361,atc,1,¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀️ Te puedo ayudar con información sobre tus sesiones y mucho más. *Elige una de estas alternativas* para conectarte con el área correspondiente:,🏃‍♀️ Evita demoras ingresando a este link donde podrás realizar el cambio en menos de 1 minuto. 👇🏻https://opcionyo.com/atc/menos-sesiones,false,9873212,9873226,18,2.5,P1 · ¡Hola! Soy la asistente virtual de Opción Yo 🦸‍♀…,P2 · 🏃‍♀️ Evita demoras ingresando a este link donde …
