conversacion,equipo,estado,envios_historicos,hallazgo
Agendamiento exitoso,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Inasistencia con AR,ATC,Push Activo,123,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Inasistencia sin AR,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Inasistencia sin sesiones futuras,ATC,Push Activo,66,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Pago fallido AR dia 5,ATC,Push Activo,11,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Problemas técnicos,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Push postergar y agendar,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Push renovación etapa 9,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Queremos que vuelvas,ATC,Push Activo,857,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Recordatorio 30 minutos antes,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Sin sesiones agendadas,ATC,Push Activo,44,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Tu plan ha sido reactivado,ATC,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Caída de internet especialista cancela,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Cliente cancela menos de 24hs antes,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Cómo cancelar y reagendar,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
ENGLISH: Saludo soporte,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Emergencia Especialista Cancela,ATC,Manual activo,11,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Enfermedad especialista cancela,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Especialista cancela motivo Personal,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Especialista esperando,ATC,Manual activo,113,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Notificación Mensaje nuevo,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Past due - Andrea,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Problemas técnicos: especialista cancela,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
SDD sin agendar,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Sesion gratis: Urgencia Especialista cancela,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Solicitar Meet Especialista,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Solicitud de Freepass por especialista,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Soporte - Saludo,ATC,Manual activo,27,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Urgencia: Especialista cancela,ATC,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Inbound - Especialistas,ATC,Inbound,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Inbound cliente nuevo,ATC,Inbound,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Soporte - Inbound,ATC,Inbound,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Cancelar plan,Cancelaciones,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Saludo Cancelación Alonso,Cancelaciones,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Saludo Cancelación Carlos,Cancelaciones,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Seguimiento Alonso,Cancelaciones,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Seguimiento LauraP,Cancelaciones,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
1ss No asistió a primera sesión,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Confirmación de match,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Llamada desde WHATSAPP,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Mensaje bienvenida a Opción Yo,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Push Recomenzar-onboarding Whatsapp,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Recomenzar mensaje a los 12 horas,Consultores,Push Activo,15,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Recordatorio consultoria 30 min antes,Consultores,Push Activo,140,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
día 50 post salvado,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Dia 25 post salvado,Consultores,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Adelantar consultoria,Consultores,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Consultor esperando,Consultores,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Llamada desde HUBSPOT,Consultores,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Saludo Especialista deja OY,Consultores,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Cliente no asistió,Mantenimiento,Push Activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Carlos insistencias,Mantenimiento,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
NPS Control de calidad,Mantenimiento,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Quejas Control de Calidad,Mantenimiento,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Saludo Client Success,Mantenimiento,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Saludo Dep de Calidad,Mantenimiento,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
Saludo Lau O,Mantenimiento,Manual activo,0,"Marcada activa en catálogo, CERO envíos reales en el DWH (últimos 365 días)"
